# z_eff -- sig_(D_A/rd)/(D_A/rd) -- sig_(H0rd)/(H0rd)
0.65	0.82	1.50
0.75	0.69	1.27
0.85	0.69	1.22
0.95	0.73	1.22
1.05	0.89	1.37
1.15	0.94	1.39
1.25	0.96	1.39
1.35	1.50	2.02
1.45	1.59	2.13
1.55	1.90	2.52
1.65	2.88	3.80
1.75	4.64	6.30
1.85	4.71	6.39
